onset	duration	trial_type	item	key	RT
0.0023903680012153927	14	SelfHarmOther	11	2	3.216
16.41313839600116	14	OtherHarmOther	22	1	2.425
32.58759131000079	14	SelfNeutOther	12	3	1.881
48.80709267400016	14	OtherHarmOther	31	1	1.697
62.9897704670002	14	OtherHarmOther	18	1	2.356
79.20997113900012	14	CompHarmOther	32	3	1.629
97.39620543900128	14	CompHarmSelf	10	2	1.849
115.61637975099984	14	OtherHarmOther	8	2	2.226
129.80141163200096	14	OtherHarmOther	30	1	1.111
148.00293184700058	14	OtherHarmOther	21	1	1.537
162.18932841100104	14	OtherHarmOther	3	3	1.524
180.39357502500025	14	OtherHarmOther	6	2	1.299
194.59481972499998	14	OtherNeutOther	15	1	0.916
208.7803637600009	14	OtherNeutOther	24	1	1.42
226.9843619559997	14	OtherHarmOther	5	3	0.796
241.16996006000045	14	OtherHarmOther	24	2	1.609
259.356226711001	14	OtherHarmOther	16	1	1.27
273.5566354849998	14	OtherNeutOther	36	1	1.427
289.7606551839999	14	OtherNeutOther	1	1	1.719
305.9472457440006	14	OtherNeutOther	13	1	1.04
324.1519127700012	14	OtherNeutOther	14	1	1.396
338.3355988359999	14	OtherHarmOther	13	2	1.786
354.538307275001	14	OtherHarmOther	31	3	1.173
372.7409678460008	14	OtherNeutOther	3	1	1.43
