onset	duration	trial_type	item	key	RT
0.002196159000050102	14	SelfHarmOther	33	1	1.675
18.411788711000554	14	SelfHarmOther	18	4	1.049
34.58804806200078	14	SelfNeutOther	11	1	0.926
48.803762123000524	14	SelfNeutOther	34	2	0.977
63.0070042060006	14	SelfHarmOther	30	4	1.453
81.20987943300042	14	SelfHarmOther	24	4	1.078
95.42931772400061	14	SelfNeutOther	13	1	0.396
113.61550417900071	14	SelfNeutOther	31	1	1.156
127.81614620000073	14	SelfHarmOther	23	4	1.748
146.0041575940004	14	SelfNeutOther	12	1	1.557
160.2052439150002	14	SelfHarmOther	29	4	1.309
176.41021058000024	14	SelfHarmOther	36	4	0.663
194.62956780200057	14	SelfHarmOther	33	4	1.394
212.81649105000088	14	SelfHarmOther	14	4	0.983
227.01522544600084	14	SelfHarmOther	27	4	1.328
243.22173861300053	14	SelfNeutOther	9	1	0.869
261.4229173650001	14	SelfHarmOther	31	4	1.156
277.60887754100077	14	SelfHarmOther	35	4	0.971
291.82638627600045	14	SelfNeutOther	10	1	0.872
307.99628180500076	14	SelfNeutOther	15	1	0.927
324.2155220420009	14	SelfNeutOther	17	1	0.8
340.38542071100073	14	SelfNeutOther	8	1	0.724
354.6046981840009	14	SelfNeutOther	24	1	0.929
372.8241850080003	14	SelfHarmOther	10	3	0.981
