onset	duration	trial_type	item	key	RT
0.002449808998790104	14	SelfHarmOther	21	4	0.085
16.729122939999797	14	SelfNeutOther	10	3	0.859
32.904293030998815	14	OtherHarmOther	28	2	0.514
51.43857909700091	14	OtherHarmOther	20	1	0.598
68.24141067700111	14	CompHarmOther	35	3	0.853
85.3618956270002	14	CompHarmSelf	18	4	0.464
103.56317137299993	14	OtherHarmOther	7	4	0.903
121.78356908799833	14	OtherHarmOther	32	3	0.679
135.96837750800114	14	OtherHarmOther	27	3	0.996
150.7551049419999	14	OtherHarmOther	33	3	0.94
165.75566770300065	14	OtherHarmOther	7	2	1.317
184.07717642399803	14	OtherHarmOther	4	1	0.346
203.5633523430006	14	OtherHarmOther	14	1	0.372
220.3498735050016	14	OtherNeutOther	13	2	0.833
234.68437752799946	14	OtherNeutOther	16	2	0.423
253.2873100120014	14	OtherNeutOther	29	1	0.807
272.1412096690001	14	OtherNeutOther	25	2	0.373
288.34369725500073	14	OtherNeutOther	30	2	1.909
302.5126698029999	14	OtherHarmOther	1	2	0.005
316.73055908699826	14	OtherNeutOther	12	1	0.965
333.1351134789984	14	OtherHarmOther	25	3	1.359
347.63523099699887	14	OtherNeutOther	19	1	1.49
366.3398029630007	14	OtherHarmOther	16	2	0.718
382.54228573399814	14	OtherHarmOther	11	4	0.551
