onset	duration	trial_type	item	key	RT
0.0020873299981758464	14	SelfHarmOther	4	2	3.312
18.44365769599972	14	SelfNeutOther	14	0	0.0
33.23498814299819	14	SelfHarmOther	12	4	2.505
51.405029431	14	SelfHarmOther	19	3	0.005
65.62215745299909	14	SelfNeutOther	13	2	0.005
83.9605056659966	14	SelfNeutOther	29	1	0.713
102.83044739300021	14	SelfNeutOther	16	1	0.005
117.3647447819967	14	SelfHarmOther	6	3	0.005
133.5683398589972	14	SelfNeutOther	7	1	1.058
151.85510871799852	14	SelfHarmOther	8	3	0.871
169.04009916599898	14	SelfNeutOther	28	1	0.506
187.493166319	14	SelfNeutOther	30	2	0.662
201.71108745799938	14	SelfHarmOther	36	4	0.923
215.93101147499692	14	SelfHarmOther	14	3	0.481
232.13445872399825	14	SelfNeutOther	25	3	0.848
248.33774642299977	14	SelfHarmOther	22	4	0.791
265.491068886	14	SelfHarmOther	30	4	1.765
279.940298739999	14	SelfHarmOther	34	4	1.107
296.84466791999876	14	SelfNeutOther	12	1	0.78
311.2123537419975	14	SelfHarmOther	3	3	0.64
329.9820424009995	14	SelfHarmOther	5	4	0.608
348.16883184999824	14	SelfHarmOther	2	3	0.843
365.7064812919998	14	SelfNeutOther	19	1	0.593
384.39222294499996	14	SelfNeutOther	20	1	0.657
