onset	duration	trial_type	item	key	RT
0.002198486999986926	14	OtherHarmOther	16	1	0.691
18.412465617000635	14	SelfHarmOther	26	4	0.303
34.63947740100048	14	SelfNeutOther	19	4	0.331
48.821783523000704	14	OtherHarmOther	21	1	0.566
63.02253857300002	14	CompHarmOther	29	4	0.469
79.21123966400046	14	CompHarmSelf	17	4	0.356
93.42712054700041	14	OtherHarmOther	18	1	0.851
111.64944106400071	14	OtherHarmOther	4	1	0.53
127.85070613600055	14	OtherHarmOther	2	1	0.643
144.07088249400022	14	OtherHarmOther	15	4	0.353
158.254987325	14	OtherNeutOther	15	1	1.099
174.45982468400052	14	OtherNeutOther	29	1	0.295
188.6435099500004	14	OtherHarmOther	8	4	0.379
204.84935874300027	14	OtherHarmOther	21	4	0.42
219.05032041900085	14	OtherHarmOther	27	4	1.881
233.26718139700006	14	OtherNeutOther	10	1	0.559
251.43803045000004	14	OtherNeutOther	17	1	0.446
269.657939619	14	OtherNeutOther	27	1	1.53
287.8459275410005	14	OtherNeutOther	20	4	0.686
306.06587000500076	14	OtherHarmOther	31	4	0.573
324.26697324900033	14	OtherHarmOther	5	4	0.379
340.4892139350004	14	OtherHarmOther	25	4	0.623
356.6713934850004	14	OtherHarmOther	14	3	0.396
370.88817679300064	14	OtherNeutOther	24	1	0.487
