onset	duration	trial_type	item	key	RT
0.002688831999876129	14	SelfHarmOther	9	1	0.628
14.39359423399992	14	SelfNeutOther	13	1	0.469
32.60305377299983	14	SelfNeutOther	19	1	1.05
48.788626657999885	14	SelfNeutOther	28	1	0.917
64.99234680699988	14	SelfNeutOther	32	1	0.5
81.16046570499998	14	SelfHarmOther	1	1	1.876
99.3817685319998	14	SelfNeutOther	33	1	0.368
115.56557315099985	14	SelfNeutOther	36	1	1.33
133.76909212700002	14	SelfHarmOther	23	2	2.119
147.95367135699985	14	SelfHarmOther	36	2	0.577
166.1923976999999	14	SelfHarmOther	18	1	1.522
182.3781982339999	14	SelfHarmOther	12	1	1.298
196.59326323999971	14	SelfHarmOther	2	1	0.937
212.74854642100013	14	SelfNeutOther	35	1	2.06
230.96522957899992	14	SelfHarmOther	9	2	1.221
245.13581241999987	14	SelfHarmOther	10	2	0.764
263.357260643	14	SelfHarmOther	4	1	2.364
281.56058036599984	14	SelfNeutOther	30	1	1.204
299.7809824630001	14	SelfNeutOther	22	1	1.124
313.94711104199973	14	SelfHarmOther	20	2	1.952
328.1830931050001	14	SelfHarmOther	24	1	2.807
344.41951578099975	14	SelfNeutOther	34	1	2.069
358.6030959520001	14	SelfNeutOther	31	1	1.356
372.8088959979998	14	SelfHarmOther	13	1	2.18
