onset	duration	trial_type	item	key	RT
0.0022359719996529748	14	SelfHarmOther	4	4	0.744
18.41271460600001	14	OtherHarmOther	7	1	0.42
36.60362306299976	14	OtherHarmOther	25	1	0.465
50.83771618500032	14	SelfNeutOther	23	4	0.975
65.03898662200027	14	CompHarmOther	36	4	0.345
81.24317492099999	14	CompHarmSelf	10	4	0.359
97.42901057000017	14	OtherHarmOther	20	4	0.377
113.64912964099949	14	OtherHarmOther	13	4	1.32
129.8510809139998	14	OtherHarmOther	23	1	0.401
144.08530782599973	14	OtherHarmOther	6	1	0.277
160.2562118400001	14	OtherHarmOther	8	1	0.263
174.47366207999949	14	OtherHarmOther	24	4	0.519
188.67595357899972	14	OtherHarmOther	12	4	0.609
206.86314468	14	OtherNeutOther	11	1	1.135
221.09927372099992	14	OtherHarmOther	18	4	0.304
237.30269399600002	14	OtherNeutOther	26	1	0.46
255.52186464500028	14	OtherNeutOther	14	1	0.247
271.70761647699965	14	OtherHarmOther	1	1	1.29
285.9268070039998	14	OtherNeutOther	1	1	1.401
302.11286875599944	14	OtherHarmOther	9	4	0.682
320.31561877199965	14	OtherNeutOther	12	1	1.574
334.51612458899945	14	OtherNeutOther	5	1	1.39
352.72014666499945	14	OtherNeutOther	3	1	0.772
370.907442318	14	OtherHarmOther	2	1	0.929
