onset	duration	trial_type	item	key	RT
0.002287258000251313	14	SelfHarmOther	10	4	2.639
14.3782083469996	14	SelfHarmOther	32	4	1.562
28.600681472999895	14	SelfHarmOther	11	4	0.613
46.78869159599981	14	SelfNeutOther	4	1	1.327
64.9905842219996	14	SelfHarmOther	34	4	0.835
81.19375129899981	14	SelfHarmOther	28	4	0.605
97.41197003399975	14	SelfHarmOther	3	2	1.563
115.61582109000028	14	SelfNeutOther	27	1	1.01
133.81915438800024	14	SelfHarmOther	16	4	0.352
147.98593963199983	14	SelfNeutOther	15	1	1.147
164.20762358200045	14	SelfNeutOther	16	1	0.758
180.37563531100022	14	SelfNeutOther	17	1	1.56
196.59581816799982	14	SelfNeutOther	29	1	1.887
210.7793220980002	14	SelfNeutOther	21	2	0.89
224.99941560600018	14	SelfHarmOther	35	4	0.792
241.218972957	14	SelfNeutOther	24	1	1.766
259.4061218079996	14	SelfHarmOther	6	4	0.958
277.62514215900046	14	SelfHarmOther	22	4	0.718
293.84460148499966	14	SelfNeutOther	18	1	1.3
310.0468952379997	14	SelfNeutOther	20	1	0.969
324.2483503780004	14	SelfHarmOther	30	4	1.122
342.4706514540003	14	SelfHarmOther	33	3	1.311
356.6542907089997	14	SelfNeutOther	2	1	0.583
370.8390689300004	14	SelfHarmOther	7	3	0.431
