onset	duration	trial_type	item	key	RT
0.002196424000430852	14	SelfHarmOther	32	1	1.768
18.379929569000524	14	SelfHarmOther	18	2	1.158
34.5866404770004	14	SelfNeutOther	36	1	1.255
48.75350427400008	14	SelfNeutOther	33	1	1.071
62.955442745000255	14	SelfNeutOther	22	1	0.754
81.10997982400113	14	SelfNeutOther	19	1	1.719
97.32938032000129	14	SelfHarmOther	20	2	3.883
113.51544115200159	14	SelfHarmOther	4	2	0.875
131.75113364900062	14	SelfHarmOther	10	2	1.489
145.95262210200053	14	SelfNeutOther	9	2	1.364
160.1559360930005	14	SelfHarmOther	1	2	0.889
176.3754614210011	14	SelfHarmOther	13	2	2.02
194.57869080100136	14	SelfNeutOther	13	1	1.349
212.78106219500114	14	SelfNeutOther	31	1	3.06
226.99916591300098	14	SelfNeutOther	34	1	0.74
241.2013708150007	14	SelfNeutOther	35	1	1.985
255.37223691800136	14	SelfHarmOther	23	2	1.776
271.5744783550017	14	SelfHarmOther	2	2	0.74
287.7434257890018	14	SelfHarmOther	24	2	0.97
303.9629532450017	14	SelfHarmOther	9	2	2.196
322.14852710000014	14	SelfHarmOther	12	2	1.017
340.3695176780002	14	SelfNeutOther	30	1	1.021
358.53900709400114	14	SelfNeutOther	28	1	0.708
374.75788496600035	14	SelfHarmOther	36	2	3.798
