onset	duration	trial_type	item	key	RT
0.0023290149993044906	14	SelfHarmOther	7	4	1.248
16.429040889000134	14	SelfHarmOther	18	1	0.403
30.636758664999434	14	SelfHarmOther	16	3	0.71
48.839519770999686	14	SelfNeutOther	27	1	0.58
63.022998329000075	14	SelfHarmOther	6	4	0.485
81.22760370699962	14	SelfHarmOther	34	3	0.556
97.44754444299997	14	SelfNeutOther	15	1	0.433
111.6137081070001	14	SelfNeutOther	21	1	0.426
129.81813726699966	14	SelfNeutOther	2	1	0.446
143.9868515649996	14	SelfHarmOther	32	4	0.585
162.2413839289993	14	SelfNeutOther	29	1	0.521
176.4086786150001	14	SelfNeutOther	4	2	1.482
192.62829314699957	14	SelfNeutOther	10	1	1.05
210.7991253249993	14	SelfHarmOther	30	3	0.4
227.0513335099995	14	SelfNeutOther	20	1	0.573
241.25108291099968	14	SelfHarmOther	28	3	0.401
259.4909394749993	14	SelfHarmOther	11	3	0.357
275.69276876099957	14	SelfNeutOther	16	1	0.577
291.91207499399934	14	SelfHarmOther	22	3	0.732
310.13039536199994	14	SelfNeutOther	24	1	0.579
324.3503664109994	14	SelfHarmOther	35	3	0.408
340.57075405399974	14	SelfNeutOther	17	1	0.458
358.7570716119999	14	SelfHarmOther	33	4	0.874
372.97330698899987	14	SelfHarmOther	3	4	0.811
