onset	duration	trial_type	item	key	RT
0.0036092989998905978	14	SelfHarmOther	12	0	0.0
17.396439819999614	14	SelfNeutOther	20	1	2.861
33.63701166599958	14	CompHarmOther	1	4	2.14
49.83969378999973	14	CompHarmSelf	13	3	0.763
64.07492383299996	14	OtherHarmOther	26	1	1.042
78.29364568499977	14	OtherHarmOther	14	1	1.222
92.47800939499984	14	OtherHarmOther	7	2	2.35
110.68069585299963	14	OtherHarmOther	6	1	0.831
124.86639143599996	14	OtherHarmOther	23	3	2.006
143.0691387239999	14	OtherNeutOther	12	2	0.958
157.25433151399966	14	OtherNeutOther	1	1	1.226
175.46076088599966	14	OtherHarmOther	24	0	0.0
193.66144060099987	14	OtherNeutOther	5	1	0.358
211.86386998999978	14	OtherHarmOther	9	4	0.292
226.06574172599994	14	OtherHarmOther	23	3	1.059
240.28478952099977	14	OtherHarmOther	36	4	0.402
256.45512262099965	14	OtherNeutOther	25	1	0.005
272.6754897279998	14	OtherHarmOther	18	4	0.575
288.8780468779996	14	OtherNeutOther	11	1	1.524
303.0952245039998	14	OtherNeutOther	8	1	0.406
321.3162828559998	14	OtherHarmOther	2	4	0.409
339.5185442249999	14	OtherHarmOther	10	4	0.294
357.7233620029997	14	OtherNeutOther	3	1	1.079
373.940916818	14	OtherHarmOther	4	3	0.816
