onset	duration	trial_type	item	key	RT
0.002284418999806803	14	SelfHarmOther	14	3	0.761
16.411792395999782	14	SelfNeutOther	31	3	0.529
34.63601586599998	14	OtherHarmOther	15	1	0.369
52.82193895899991	14	CompHarmOther	8	3	0.345
71.02439219400003	14	CompHarmSelf	27	4	0.571
89.24510261099977	14	OtherHarmOther	21	1	0.314
105.46451154899978	14	OtherHarmOther	16	1	0.335
119.64916928000002	14	OtherHarmOther	5	3	0.004
137.85382889499988	14	OtherHarmOther	19	3	0.482
154.05632408300016	14	OtherHarmOther	15	3	0.797
168.28909592300033	14	OtherHarmOther	27	1	0.79
186.4770618839998	14	OtherHarmOther	26	2	1.126
202.68159791300013	14	OtherHarmOther	17	1	1.529
216.86462952600004	14	OtherNeutOther	29	1	0.94
233.06871462499976	14	OtherNeutOther	4	1	1.918
247.25230170999976	14	OtherHarmOther	25	3	0.524
265.5061679839996	14	OtherNeutOther	10	1	1.017
281.6926483829998	14	OtherNeutOther	24	1	0.918
295.9108479499996	14	OtherHarmOther	21	4	0.426
312.130458053	14	OtherHarmOther	29	3	0.441
328.33365514800016	14	OtherNeutOther	18	1	1.045
342.5514585650003	14	OtherNeutOther	2	1	0.638
356.7386271150003	14	OtherNeutOther	20	1	0.473
374.9424344109998	14	OtherHarmOther	17	4	0.382
