onset	duration	trial_type	item	key	RT
0.0021967590000713244	14	SelfHarmOther	9	1	0.828
18.429294919999847	14	SelfNeutOther	13	1	0.923
36.60427431500011	14	SelfHarmOther	9	4	0.329
50.82164789699982	14	SelfNeutOther	19	1	0.315
69.00768553499984	14	SelfNeutOther	28	1	0.573
85.21069376699961	14	SelfHarmOther	4	4	0.68
103.39788447599949	14	SelfHarmOther	24	4	0.563
117.61702220499956	14	SelfHarmOther	2	4	0.508
131.78471341099976	14	SelfNeutOther	32	2	0.595
148.00506500099982	14	SelfNeutOther	34	1	0.841
166.19111250599963	14	SelfHarmOther	1	4	0.983
180.42649085599987	14	SelfNeutOther	36	1	1.541
194.62701980699967	14	SelfNeutOther	30	1	0.764
208.81304543499937	14	SelfNeutOther	22	1	0.501
227.01673399799984	14	SelfHarmOther	23	3	0.679
243.22098619699955	14	SelfHarmOther	10	4	0.438
257.43732522699975	14	SelfHarmOther	20	3	0.332
273.6254520120001	14	SelfNeutOther	35	1	0.383
289.82648346399947	14	SelfHarmOther	18	4	0.364
308.030434237	14	SelfHarmOther	13	2	0.289
324.2686896690002	14	SelfHarmOther	36	4	1.037
340.4542038210002	14	SelfHarmOther	12	3	0.427
356.67339717699997	14	SelfNeutOther	33	1	0.356
370.856903074	14	SelfNeutOther	31	1	0.595
