onset	duration	trial_type	item	key	RT
0.0022505890010506846	14	SelfHarmOther	2	3	2.472
16.428401514000143	14	SelfHarmOther	25	1	2.492
32.65268316000038	14	SelfHarmOther	13	3	1.358
50.84023711200098	14	SelfNeutOther	11	1	1.471
67.05831454700092	14	SelfHarmOther	24	3	0.814
85.24700008200125	14	SelfNeutOther	6	1	1.217
101.43322788499972	14	SelfNeutOther	12	1	0.762
115.61684786600017	14	SelfNeutOther	1	1	1.682
133.8199858549997	14	SelfHarmOther	23	3	0.402
148.00315329300065	14	SelfNeutOther	8	1	0.633
166.22434943400003	14	SelfHarmOther	4	3	0.343
182.41318130000036	14	SelfHarmOther	1	3	0.244
196.62927319400114	14	SelfHarmOther	12	3	0.263
210.78261540700078	14	SelfNeutOther	26	1	0.281
228.98508515899994	14	SelfNeutOther	5	1	0.794
245.16995174300064	14	SelfNeutOther	14	1	0.299
259.37169249399994	14	SelfNeutOther	23	1	0.487
275.6092753089997	14	SelfHarmOther	9	3	1.321
289.81016610700135	14	SelfHarmOther	20	3	0.403
308.0308636210011	14	SelfNeutOther	7	1	0.77
326.2182154940001	14	SelfHarmOther	10	3	0.801
340.43478605900054	14	SelfNeutOther	3	1	0.343
356.6229247120009	14	SelfHarmOther	18	3	0.638
370.8416694000007	14	SelfHarmOther	36	3	0.317
