onset	duration	trial_type	item	key	RT
0.0022856770001453697	14	SelfHarmOther	36	4	0.518
18.39597424600015	14	SelfHarmOther	32	1	1.392
36.62122075099978	14	SelfHarmOther	9	0	0.0
50.8206711189996	14	SelfNeutOther	19	1	0.53
65.04023803600012	14	SelfNeutOther	31	1	0.466
83.226861698	14	SelfNeutOther	33	1	0.359
99.42988160299956	14	SelfHarmOther	18	4	0.393
115.63068175900025	14	SelfHarmOther	23	3	0.295
131.85172489900015	14	SelfNeutOther	36	1	0.483
146.03566750699974	14	SelfHarmOther	13	3	1.239
162.27315397500024	14	SelfNeutOther	34	1	0.376
178.45908628899997	14	SelfHarmOther	2	3	0.474
192.67712144300003	14	SelfNeutOther	30	1	0.704
208.89768549600012	14	SelfHarmOther	24	4	0.687
223.09904951999943	14	SelfNeutOther	28	1	0.315
241.41991269399932	14	SelfNeutOther	22	1	3.953
255.60413475900077	14	SelfNeutOther	35	1	0.313
273.8073375970007	14	SelfHarmOther	1	3	0.936
291.99385101999997	14	SelfHarmOther	4	3	0.385
310.19836592900083	14	SelfNeutOther	9	3	0.005
328.38284169099916	14	SelfHarmOther	20	4	0.455
344.6039127060003	14	SelfHarmOther	10	3	0.372
358.78768035600024	14	SelfHarmOther	12	3	0.243
372.97321810000085	14	SelfNeutOther	13	1	0.291
