onset	duration	trial_type	item	key	RT
0.002625987000101304	14	SelfHarmOther	28	4	1.295
16.412358681000114	14	SelfHarmOther	3	4	0.771
34.6035578989995	14	SelfHarmOther	10	1	0.676
52.80662893799945	14	SelfHarmOther	32	3	1.388
67.00707722799962	14	SelfHarmOther	34	4	1.321
83.24354531299923	14	SelfNeutOther	21	1	0.406
97.41176273699966	14	SelfHarmOther	16	3	1.619
111.63057601899982	14	SelfNeutOther	27	1	0.503
129.83435247799935	14	SelfHarmOther	30	4	0.528
146.0536677729997	14	SelfNeutOther	24	1	1.357
162.25759664199995	14	SelfNeutOther	17	1	0.727
178.44388332499966	14	SelfNeutOther	15	1	1.52
192.64450698099972	14	SelfNeutOther	2	1	0.537
210.8313551299998	14	SelfHarmOther	22	4	1.368
227.0510676469994	14	SelfHarmOther	7	3	0.705
245.23678099399967	14	SelfNeutOther	4	1	0.838
259.43912168599945	14	SelfHarmOther	6	3	0.334
275.6416552390001	14	SelfHarmOther	33	4	0.333
293.8443150759995	14	SelfNeutOther	18	0	0.0
308.0294661150001	14	SelfNeutOther	16	1	0.343
324.2331688409995	14	SelfNeutOther	29	1	0.791
342.4024735039993	14	SelfNeutOther	20	1	0.34
356.6203962769996	14	SelfHarmOther	11	3	0.464
370.806778227	14	SelfHarmOther	35	4	0.356
