onset	duration	trial_type	item	key	RT
0.0023254559991983115	14	SelfHarmOther	27	3	1.161
14.394062026999563	14	SelfNeutOther	29	3	0.351
32.64102244699916	14	OtherHarmOther	10	1	0.475
48.83822861699991	14	CompHarmOther	21	3	0.632
67.07909269299944	14	CompHarmSelf	26	3	0.784
81.26302704699992	14	OtherHarmOther	19	3	0.427
95.49853791699934	14	OtherHarmOther	25	3	0.633
111.71873312499974	14	OtherHarmOther	24	1	0.586
129.90127326999936	14	OtherHarmOther	27	1	0.936
144.10692045799988	14	OtherHarmOther	31	3	0.627
158.30420492299982	14	OtherHarmOther	14	4	0.402
176.50831909599947	14	OtherHarmOther	15	1	0.438
194.69834853499924	14	OtherHarmOther	21	1	0.586
210.91613100299946	14	OtherNeutOther	18	1	0.532
225.1045862179999	14	OtherHarmOther	15	3	0.399
243.30852467899967	14	OtherNeutOther	16	1	0.417
259.5001503879994	14	OtherNeutOther	20	1	0.427
275.7346438579998	14	OtherNeutOther	17	1	0.633
291.9142703189991	14	OtherHarmOther	5	3	1.938
310.13277775199913	14	OtherHarmOther	8	3	0.271
328.34007498999927	14	OtherNeutOther	29	0	0.0
342.5427763079997	14	OtherNeutOther	2	1	0.381
356.7209200269999	14	OtherHarmOther	17	3	0.641
372.9579525709996	14	OtherNeutOther	4	1	0.491
