onset	duration	trial_type	item	key	RT
0.0029459729994414374	14	SelfHarmOther	26	4	0.973
18.396665642999324	14	OtherHarmOther	16	1	1.79
32.5701400149992	14	SelfNeutOther	17	4	1.045
50.78832696599966	14	OtherHarmOther	15	1	2.798
68.97439367599964	14	CompHarmOther	31	4	1.359
87.19398128299963	14	OtherHarmOther	2	1	1.769
101.37783809299981	14	OtherHarmOther	29	1	1.006
119.58427867499995	14	CompHarmSelf	27	4	2.835
135.77177448699967	14	OtherHarmOther	8	3	1.238
151.97223132	14	OtherHarmOther	5	1	1.832
166.1556356659994	14	OtherHarmOther	18	1	1.414
184.3754646919997	14	OtherHarmOther	14	3	1.336
200.56313929999942	14	OtherHarmOther	21	4	1.286
218.78343781699914	14	OtherNeutOther	27	1	1.465
232.9669762709991	14	OtherNeutOther	4	1	0.511
249.17105356999946	14	OtherNeutOther	20	1	1.737
265.35641051699986	14	OtherHarmOther	25	0	0.0
281.559080002	14	OtherHarmOther	19	1	2.319
295.76200106099986	14	OtherNeutOther	10	1	1.481
313.9510021779997	14	OtherNeutOther	17	1	1.0
328.1845053369998	14	OtherHarmOther	15	4	0.927
344.36973479399967	14	OtherHarmOther	29	1	2.589
358.55363305899937	14	OtherNeutOther	24	0	0.0
374.7412452039998	14	OtherNeutOther	21	1	1.729
