onset	duration	trial_type	item	key	RT
0.002240668999547779	14	SelfHarmOther	31	1	0.81
18.395624779999707	14	SelfNeutOther	35	1	1.503
32.55321757999991	14	SelfNeutOther	28	1	0.824
50.73737297400021	14	SelfHarmOther	2	4	2.915
64.90583992200027	14	SelfNeutOther	9	1	1.858
83.0932681940003	14	SelfHarmOther	36	1	1.99
97.31089884699941	14	SelfNeutOther	36	1	0.543
115.4988494649997	14	SelfHarmOther	18	0	0.0
131.71931638800015	14	SelfNeutOther	33	1	2.099
147.90698049299954	14	SelfHarmOther	10	4	0.785
166.12502044699977	14	SelfNeutOther	34	1	0.479
180.30777182200018	14	SelfHarmOther	24	4	1.611
198.51261487899956	14	SelfNeutOther	22	1	1.531
214.69792057199993	14	SelfHarmOther	13	4	1.121
230.90382463199967	14	SelfHarmOther	23	4	1.968
247.08669924399965	14	SelfHarmOther	12	0	0.0
263.2725186099997	14	SelfHarmOther	9	4	1.989
277.44031075600014	14	SelfNeutOther	19	1	1.19
295.6457084670001	14	SelfHarmOther	1	1	0.586
309.81259514700014	14	SelfNeutOther	32	1	0.646
326.0162618009999	14	SelfNeutOther	30	1	0.6
342.2021018159994	14	SelfHarmOther	4	2	2.306
360.42106478999995	14	SelfNeutOther	13	1	1.257
374.6074264879999	14	SelfHarmOther	20	4	0.999
