onset	duration	trial_type	item	key	RT
0.0038092240001788014	14	OtherHarmOther	3	1	1.142
16.396035748999566	14	SelfHarmOther	1	3	1.928
30.600630652999826	14	OtherHarmOther	5	1	0.814
44.785984592000204	14	OtherHarmOther	14	1	0.924
62.98983507599951	14	OtherHarmOther	7	1	1.714
81.17564577099984	14	SelfNeutOther	36	4	0.993
97.39535351599989	14	CompHarmOther	24	4	1.111
113.5818137919996	14	CompHarmSelf	13	3	2.14
127.78364917499948	14	OtherHarmOther	4	4	1.424
145.9701600039998	14	OtherHarmOther	2	4	1.725
160.17137373900005	14	OtherHarmOther	25	1	1.928
178.3415237700001	14	OtherHarmOther	20	4	1.091
192.56058098099948	14	OtherHarmOther	23	4	1.502
210.73058455799946	14	OtherHarmOther	18	4	1.883
226.96688456900029	14	OtherNeutOther	23	1	2.69
245.16978687200026	14	OtherHarmOther	9	4	1.645
261.38922890199956	14	OtherNeutOther	8	0	0.0
277.57486147300006	14	OtherHarmOther	12	3	1.624
291.7927726649996	14	OtherNeutOther	1	1	1.444
308.01153632000023	14	OtherNeutOther	12	1	1.146
322.21434881000005	14	OtherNeutOther	26	1	0.918
338.43565944799957	14	OtherHarmOther	10	3	2.352
352.6201766029999	14	OtherNeutOther	6	1	1.229
370.8068994509995	14	OtherNeutOther	11	1	1.194
