onset	duration	trial_type	item	key	RT
0.002240615000005164	14	OtherHarmOther	16	1	0.527
14.444089286000008	14	SelfHarmOther	8	1	2.178
28.63669281	14	SelfNeutOther	21	1	0.867
46.87461586900008	14	OtherHarmOther	17	1	0.846
65.05699080799991	14	OtherHarmOther	20	1	1.156
81.26057548099993	14	OtherHarmOther	18	1	1.634
99.44748947400012	14	CompHarmOther	17	1	0.431
115.682168563	14	CompHarmSelf	27	2	0.731
131.88625903399998	14	OtherHarmOther	24	1	0.986
146.10319492200006	14	OtherHarmOther	14	2	1.135
164.28918027300006	14	OtherHarmOther	5	1	0.861
182.50899404000006	14	OtherNeutOther	4	2	1.767
200.69634880900003	14	OtherNeutOther	29	1	1.915
216.91528541399998	14	OtherNeutOther	15	2	0.841
235.10093847300004	14	OtherHarmOther	31	1	1.39
251.30493416800005	14	OtherHarmOther	19	2	0.738
265.50835519199995	14	OtherHarmOther	29	1	0.889
281.743124375	14	OtherNeutOther	2	1	2.164
295.926068903	14	OtherHarmOther	25	0	0.0
310.16743605600004	14	OtherNeutOther	21	1	1.672
326.3580921160001	14	OtherNeutOther	27	1	0.925
344.5850955820001	14	OtherNeutOther	10	1	2.51
358.75512339500006	14	OtherHarmOther	26	1	1.64
374.9762560710001	14	OtherHarmOther	15	1	0.501
