onset	duration	trial_type	item	key	RT
0.0022063639999032603	14	OtherHarmOther	4	1	0.802
16.379163613999935	14	SelfHarmOther	8	4	1.025
30.58493102200009	14	OtherHarmOther	15	1	1.513
48.75376439499996	14	SelfNeutOther	26	4	0.354
64.95295037300002	14	CompHarmOther	5	4	0.231
81.109204718	14	OtherHarmOther	18	1	0.724
95.323743939	14	OtherHarmOther	24	1	1.077
111.49848307599996	14	CompHarmSelf	29	4	0.644
125.71220119000009	14	OtherHarmOther	2	1	1.539
139.9181357059997	14	OtherHarmOther	14	4	0.976
158.11823544599974	14	OtherNeutOther	10	1	0.935
176.3238396050001	14	OtherHarmOther	19	4	0.907
192.5070703209999	14	OtherNeutOther	27	1	1.144
206.71350223199988	14	OtherHarmOther	27	4	0.346
220.899147437	14	OtherHarmOther	17	4	1.027
239.1025830829999	14	OtherHarmOther	15	4	0.315
257.28828020599985	14	OtherHarmOther	31	4	0.432
273.48891259799984	14	OtherHarmOther	25	4	1.037
289.67720593800004	14	OtherNeutOther	21	1	1.365
303.8575818869999	14	OtherNeutOther	16	1	0.745
322.01540536599987	14	OtherNeutOther	29	1	0.898
338.2185758559999	14	OtherNeutOther	17	1	1.557
356.3886017069999	14	OtherHarmOther	21	4	1.369
374.590872706	14	OtherNeutOther	20	1	1.074
