onset	duration	trial_type	item	key	RT
0.004270366999662656	14	SelfHarmOther	24	0	0.0
16.428360348999377	14	OtherHarmOther	8	2	2.458
30.60106579799958	14	SelfNeutOther	9	0	0.0
46.83845780699994	14	CompHarmOther	18	3	1.949
65.02415204599947	14	OtherHarmOther	23	1	0.604
83.22655971399945	14	OtherHarmOther	5	1	3.018
101.41214078899975	14	CompHarmSelf	13	3	1.065
119.64999468499991	14	OtherHarmOther	7	2	1.12
133.8339503899997	14	OtherHarmOther	20	3	0.574
148.0539317319999	14	OtherHarmOther	25	0	0.0
166.2243394090001	14	OtherHarmOther	10	3	0.02
182.4753877839994	14	OtherNeutOther	14	0	0.0
198.6644499059994	14	OtherHarmOther	23	3	0.278
216.89914510400013	14	OtherNeutOther	12	1	0.086
231.08406026099965	14	OtherHarmOther	4	0	0.0
245.30306272599955	14	OtherNeutOther	1	1	0.58
259.5228274989995	14	OtherHarmOther	2	2	1.008
273.70890039499955	14	OtherNeutOther	11	0	0.0
289.9107087860002	14	OtherNeutOther	3	0	0.0
308.09737129399946	14	OtherHarmOther	12	0	0.0
324.30029688800005	14	OtherNeutOther	26	2	1.438
340.4859374059997	14	OtherHarmOther	36	3	0.686
356.6885160189995	14	OtherHarmOther	1	1	0.267
370.8892316350002	14	OtherNeutOther	6	1	0.493
