onset	duration	trial_type	item	key	RT
0.002639411000018299	14	SelfHarmOther	9	2	2.279
16.428871557000093	14	SelfNeutOther	29	3	0.41
34.620235012000194	14	SelfNeutOther	28	2	0.744
50.92049251899971	14	SelfHarmOther	20	4	0.412
65.12314147000052	14	SelfHarmOther	13	4	0.483
83.34461147399998	14	SelfHarmOther	9	3	0.739
101.54702374499993	14	SelfNeutOther	23	3	1.385
115.76483000000007	14	SelfHarmOther	5	3	0.76
129.967005083	14	SelfNeutOther	16	3	0.303
148.171630801	14	SelfNeutOther	34	2	1.927
166.35611935700035	14	SelfNeutOther	15	2	2.522
184.5600809990001	14	SelfNeutOther	10	2	0.654
200.746351236	14	SelfHarmOther	24	4	0.788
214.94714820100035	14	SelfHarmOther	19	4	0.562
231.13585670300017	14	SelfHarmOther	14	3	0.401
247.35360509400016	14	SelfHarmOther	22	0	0.0
265.55709838300027	14	SelfHarmOther	4	3	0.341
279.77439121600037	14	SelfHarmOther	33	3	0.504
293.9443316320003	14	SelfNeutOther	3	0	0.0
310.17996072500046	14	SelfNeutOther	24	2	0.356
326.3842427159998	14	SelfHarmOther	28	4	0.511
342.6027146910001	14	SelfNeutOther	35	1	0.637
356.8210918650002	14	SelfHarmOther	25	3	1.854
370.98935761899975	14	SelfNeutOther	8	1	0.338
