onset	duration	trial_type	item	key	RT
0.002267995999318373	14	SelfHarmOther	12	3	1.303
14.393647750000127	14	SelfNeutOther	29	4	0.465
28.634970596999665	14	OtherHarmOther	27	1	1.528
42.81981923500007	14	CompHarmOther	26	4	0.449
59.0583351159994	14	CompHarmSelf	7	1	1.138
75.26092110799891	14	OtherHarmOther	25	3	0.598
93.4951798129996	14	OtherHarmOther	32	4	0.999
107.67993566299901	14	OtherHarmOther	33	2	0.956
125.88578505699934	14	OtherHarmOther	31	4	0.419
142.11708063099923	14	OtherHarmOther	34	4	0.969
156.33814203099882	14	OtherHarmOther	4	3	1.382
174.54265132700039	14	OtherHarmOther	1	4	0.637
192.74582869200003	14	OtherHarmOther	13	2	1.171
208.9817851380003	14	OtherNeutOther	1	2	1.624
227.1671781769992	14	OtherNeutOther	36	2	2.637
241.3849927729998	14	OtherHarmOther	30	0	0.0
259.58858698699896	14	OtherNeutOther	31	2	0.672
273.7902299919997	14	OtherNeutOther	5	1	0.945
289.97910293899895	14	OtherHarmOther	18	4	0.752
304.19543383200016	14	OtherNeutOther	26	3	1.165
322.38246324100055	14	OtherNeutOther	7	3	0.005
338.58565688900035	14	OtherHarmOther	8	3	0.876
356.78790670999933	14	OtherHarmOther	6	2	0.879
373.0083460229989	14	OtherNeutOther	11	2	1.406
