onset	duration	trial_type	item	key	RT
0.0026455790002728463	14	OtherHarmOther	21	4	1.321
16.42901347299994	14	SelfHarmOther	4	3	0.024
32.63604664200011	14	SelfNeutOther	9	4	0.493
50.85484895299942	14	CompHarmOther	19	3	2.438
69.04222656399998	14	OtherHarmOther	19	2	3.404
85.27880888900017	14	CompHarmSelf	25	3	0.678
99.47935641000004	14	OtherHarmOther	22	4	0.621
117.71658554199985	14	OtherHarmOther	28	2	0.772
131.94933833100004	14	OtherHarmOther	14	3	0.796
146.18946435499947	14	OtherHarmOther	24	3	0.681
164.55785988299976	14	OtherHarmOther	12	2	1.222
182.93802063600015	14	OtherHarmOther	22	2	0.492
199.21550941700025	14	OtherHarmOther	20	2	1.735
213.43127398700017	14	OtherNeutOther	6	3	0.772
229.61761212300007	14	OtherNeutOther	30	1	0.51
247.8205050810002	14	OtherNeutOther	17	1	0.498
262.00502889200015	14	OtherNeutOther	18	2	0.648
278.20779653799946	14	OtherNeutOther	14	0	0.0
292.39340253499995	14	OtherNeutOther	2	1	0.838
310.61425895499997	14	OtherHarmOther	20	1	3.009
326.79997131300024	14	OtherNeutOther	32	0	0.0
343.0373641369997	14	OtherHarmOther	33	0	0.0
357.22151728599965	14	OtherHarmOther	13	4	0.477
371.45591745899947	14	OtherHarmOther	5	0	0.0
