onset	duration	trial_type	item	key	RT
0.00231969400010712	14	SelfHarmOther	15	1	1.494
14.410282180000195	14	SelfHarmOther	11	2	3.583
30.572954906000177	14	SelfNeutOther	29	1	0.645
46.7884167090001	14	SelfNeutOther	24	1	1.478
62.95891630599999	14	SelfHarmOther	34	2	2.849
81.14430254000035	14	SelfHarmOther	32	3	2.423
95.3115509180002	14	SelfNeutOther	4	1	0.812
113.51499019300036	14	SelfHarmOther	3	4	0.543
127.68248355600008	14	SelfHarmOther	30	4	0.574
145.88783993200013	14	SelfHarmOther	7	4	0.672
162.07464582000011	14	SelfHarmOther	22	4	0.842
176.29092976500033	14	SelfNeutOther	27	1	0.565
190.44560778100004	14	SelfHarmOther	6	4	0.447
208.66551863500035	14	SelfNeutOther	18	1	0.992
224.8340424940002	14	SelfHarmOther	35	4	0.856
239.05169706200013	14	SelfNeutOther	2	1	0.548
255.25798406800004	14	SelfNeutOther	16	1	0.738
271.44290863900005	14	SelfNeutOther	10	1	0.59
289.66081791800025	14	SelfNeutOther	20	1	0.738
307.8468975720002	14	SelfNeutOther	17	1	1.064
324.01770061800016	14	SelfHarmOther	33	4	0.377
338.21779436700035	14	SelfHarmOther	16	2	2.453
352.4380223520002	14	SelfHarmOther	28	4	1.235
370.60811183700025	14	SelfNeutOther	21	1	0.617
