onset	duration	trial_type	item	key	RT
0.0020220979999976407	14	SelfHarmOther	1	0	0.0
17.42705191699997	14	SelfNeutOther	24	4	3.883
33.653547842999956	14	CompHarmOther	23	4	1.159
47.853409814999964	14	CompHarmSelf	20	4	2.299
62.055835703999946	14	OtherHarmOther	5	1	0.705
76.24069151900005	14	OtherHarmOther	10	4	0.807
94.44612540000003	14	OtherHarmOther	18	2	2.065
108.647016624	14	OtherHarmOther	14	1	1.175
126.85359216200004	14	OtherHarmOther	12	1	2.461
143.03984784099998	14	OtherHarmOther	11	1	1.306
157.24018550000005	14	OtherHarmOther	13	4	0.621
173.42569987299999	14	OtherHarmOther	8	1	1.24
187.64380314799996	14	OtherHarmOther	4	4	2.475
205.83146478799995	14	OtherNeutOther	3	1	0.811
220.03011987699995	14	OtherNeutOther	23	1	0.375
234.23283969800002	14	OtherHarmOther	9	2	1.936
252.42263689000004	14	OtherNeutOther	7	1	0.88
268.6246045439999	14	OtherNeutOther	1	1	0.858
284.81018357999994	14	OtherHarmOther	2	4	1.418
303.0136702430001	14	OtherHarmOther	36	4	2.175
321.21625582800004	14	OtherHarmOther	12	4	0.491
339.41947579200007	14	OtherNeutOther	26	1	0.653
355.6230255219999	14	OtherNeutOther	25	1	1.753
371.85843628300006	14	OtherNeutOther	6	1	1.037
