onset	duration	trial_type	item	key	RT
0.0022360220000336994	14	SelfHarmOther	3	4	1.158
16.37837053500016	14	SelfHarmOther	35	4	0.665
34.60292115300035	14	SelfHarmOther	27	1	1.74
48.76973582000028	14	SelfHarmOther	6	4	0.74
67.00707579400023	14	SelfNeutOther	29	2	2.676
81.17513160200042	14	SelfHarmOther	28	4	0.767
99.40843632900032	14	SelfNeutOther	17	1	1.089
115.56484275000003	14	SelfNeutOther	21	1	0.889
131.78072525800007	14	SelfNeutOther	18	1	1.913
145.95389757500016	14	SelfHarmOther	11	4	0.812
160.15076145600005	14	SelfNeutOther	16	1	1.319
176.34263457800034	14	SelfHarmOther	30	4	0.805
194.54092394600002	14	SelfHarmOther	22	4	0.752
208.76271273200018	14	SelfNeutOther	24	1	1.056
224.92997177000007	14	SelfNeutOther	20	1	1.433
239.11833481500025	14	SelfHarmOther	7	4	0.963
253.32092815500027	14	SelfHarmOther	33	4	1.055
271.540683832	14	SelfNeutOther	10	1	1.011
287.7062345190002	14	SelfHarmOther	16	4	0.842
305.9464028120001	14	SelfNeutOther	4	1	0.763
322.11142429300025	14	SelfNeutOther	15	1	1.129
336.3169166040002	14	SelfNeutOther	2	1	1.116
354.4663976920001	14	SelfHarmOther	34	4	0.773
370.70730227700005	14	SelfHarmOther	32	4	0.653
