onset	duration	trial_type	item	key	RT
0.002222652999989805	14	OtherHarmOther	24	1	2.535
18.411342140999977	14	OtherHarmOther	17	1	0.889
32.601837694000096	14	OtherHarmOther	27	1	0.855
48.787578808000035	14	OtherHarmOther	16	1	0.628
62.97204103000013	14	SelfHarmOther	29	4	0.409
81.19275401300001	14	SelfNeutOther	15	3	1.255
95.39464665300011	14	CompHarmOther	17	4	0.551
113.63159719999999	14	CompHarmSelf	8	4	0.756
129.8346957880001	14	OtherHarmOther	21	4	0.518
146.0530283730002	14	OtherHarmOther	5	4	0.633
160.25089201100013	14	OtherHarmOther	14	4	0.684
174.45775803700008	14	OtherHarmOther	26	4	1.409
192.67779462600015	14	OtherHarmOther	4	1	0.74
208.88029132200018	14	OtherHarmOther	31	4	0.776
225.09587015700004	14	OtherNeutOther	20	1	0.846
243.28548156600004	14	OtherHarmOther	19	4	0.608
257.5048441260001	14	OtherNeutOther	2	1	0.697
271.689485634	14	OtherHarmOther	25	2	1.117
287.9211827240001	14	OtherNeutOther	10	1	0.768
306.093716954	14	OtherHarmOther	27	4	0.608
322.33250804600016	14	OtherNeutOther	15	1	0.705
338.5200974620002	14	OtherNeutOther	21	1	0.747
352.7196197200001	14	OtherNeutOther	29	1	0.657
370.906831971	14	OtherNeutOther	18	1	0.704
